X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-78.664872,-0.753735,train,0.001014342225095792,56.931625068310886,0.5733677603150068
-78.670354,-0.747682,train,3.6044741222168643E-4,32.795519315157335,0.3232130974134286
-78.666696,-0.751933,train,7.53494777735494E-4,52.07237621243115,0.4995828525235362
-78.532592,-1.190325,train,0.003522204187544603,77.17103302745862,0.823530362743562
-78.83899,-0.746406,train,1.8334524476075793E-4,17.25122823200914,0.19544352201987786
-78.76,-1.58,train,9.39622635196109E-4,56.17285164376577,0.5545538778330571
-78.61489,-0.915991,train,0.0030913646093041133,73.50183668527829,0.8037623499555953
-78.09093,-0.47175,train,1.915704400674926E-4,18.038379529843084,0.2024365153009296
-78.67235,-1.235586,train,0.00357590876964961,78.23401644744416,0.8257187645180322
-78.9615,-0.437206,train,5.9460352778636405E-5,4.849386928977138,0.07302796641185615
-78.54778,-1.194002,train,0.005111302198825936,87.80015851811285,0.8713354950286852
-78.43209,-1.345362,train,0.0013741284973453843,60.29652453006349,0.6454696673601684
-78.553856,-1.11085,train,0.007574483838839951,98.44382593670848,0.9093850845221035
-78.569374,-1.128445,train,0.005939917561310253,93.80517221776539,0.8872606078233517
-78.66121,-0.748964,train,5.839492213117232E-4,45.54191325936121,0.4362054292696898
-78.61965,-0.999279,train,0.004260972826204335,84.1096889423415,0.8495226588865923
-78.41318,-1.413273,train,8.282879367017827E-5,6.85325740956235,0.0988903821402242
-78.40667,-1.426576,train,4.466263312882897E-4,38.53389699554898,0.3717612597340472
-78.093445,-0.204393,train,3.2440620760290997E-4,30.28027284185355,0.30061011837451546
-78.81303,-0.678054,train,2.1038573183650549E-4,19.96780495509479,0.2179849412405519
-78.483284,-1.28963,train,0.002881145197511853,72.89979123086957,0.7924163331055132
-78.58886,-1.171274,train,0.0069598278944803076,97.68635186546855,0.9021653798516369
-78.407166,-1.313182,train,8.839328013675807E-4,54.59466880705448,0.5394156378065692
-78.59598,-1.213437,train,0.0059804906562369855,95.00081350747445,0.8879397496963726
-78.64935,-1.229525,train,0.005187154612611319,88.31890685723928,0.8729779832227849
-78.17882,-1.454867,train,3.325778143063214E-4,30.996736980922748,0.3058662358662644
-78.48408,-1.29168,train,0.0037401105368764015,79.33450315877015,0.8320854285959739
-78.790146,-1.690705,train,0.0012572643373305818,58.7864078611444,0.6248774554202313
-78.607765,-1.10063,train,0.006734848897956229,96.3097985588906,0.8992265408227547
-77.56346,-0.645856,train,7.313635600267552E-4,51.24822764781707,0.49213065100801984
-78.90121,-0.701663,train,1.0802632371672935E-4,9.470962455903841,0.1252073479974718
-78.607315,-1.347467,train,0.004277454440857752,84.53737759759493,0.8500155061170593
-78.78523,-1.289682,train,0.001396408911296383,61.00273486682208,0.6491416746395091
-78.98165,-1.293432,train,2.6476967810708647E-4,24.544166240184055,0.25969961971187794
-78.60685,-1.384333,train,0.004662623095541007,86.78144199620829,0.8606792155647475
-78.42796,-1.3977,train,1.4776021487255655E-4,13.261303596799284,0.16372081410884873
-78.2413,-0.242423,train,9.379670577318673E-4,56.104446568557975,0.5541182059605116
-78.55836,-1.365134,train,0.00455424365964279,86.31519162717329,0.8578350797127553
-78.144066,-0.530315,train,4.996349735795914E-4,41.49233474823727,0.3983097285232845
-78.62559,-1.090803,train,0.005975784808695342,94.40337390884035,0.8878613995762995
-78.64083,-1.607167,train,0.005360173857072446,91.51324074988905,0.876572016891908
-78.715492,-1.326253,train,0.0022008509325875023,67.69112371954944,0.744636597911023
-78.6023,-1.000762,train,0.004418916522722779,85.8595844974592,0.8541164867157273
-78.53679,-1.329785,train,0.001624573719053339,62.64123860477525,0.6827871249702662
-78.68882,-1.591737,train,0.0036537681713081655,78.96046242858202,0.8287967654792985
-78.60887,-1.145772,train,0.007803280357163681,100.0,0.9118076477511556
-78.618771,-0.738615,train,8.190173258770669E-4,53.70965493362608,0.5204172805122551
-77.97971,-0.583631,train,3.4885185021526653E-4,31.838294340607742,0.3161021067612973
-78.512886,-1.48226,train,0.0029286177415765733,73.19267350086554,0.7950917424503924
-78.624596,-1.281716,train,0.005274310285293845,89.3700486822754,0.8748142036450602
-78.44898,-1.009412,train,3.729970082716465E-4,34.26398261296966,0.33074437776273813
-78.64086,-1.640047,train,0.005075750680355155,87.28902304299943,0.8705509627315978
-78.55974,-1.038507,train,0.006355032288240928,95.63631968043691,0.8938430543295989
-78.22639,-0.187154,train,7.334027691667587E-4,51.36082254129416,0.4928265806743438
-78.64739,-1.040758,train,0.004188599711010384,83.68350860478668,0.8473195966420168
-78.51161,-1.279808,train,0.003443038476751952,76.4728718722776,0.8202023403758782
-78.59659,-0.704786,train,3.43778773190359E-4,31.5834344816487,0.3129438309114584
-78.46386,-1.664201,train,2.2242701465756743E-4,21.234561848908093,0.22762130647025908
-78.6791,-1.667275,train,0.0032498500847648135,74.79302782756785,0.8115286168802631
-77.80994,-0.704609,train,3.157783688954183E-4,29.548016837769406,0.29497345727659113
-78.61268,-0.944268,train,0.0034003973058244013,76.12854895079637,0.818357212766729
-78.8483,-1.201959,train,6.861692938393396E-4,49.51184074807141,0.47620142218643896
-78.7082,-1.29988,train,0.003780950890471783,80.08803829590845,0.8335973637845036
-78.650826,-1.261594,train,0.006805780755512223,96.99038200133012,0.9001719831403387
-78.70691,-1.075702,train,0.0036107508075484884,78.59510800165867,0.8271097410326512
-77.815056,-0.527727,train,3.84121356420455E-4,35.0303959795538,0.33728156234147433
-77.78964,-0.582416,train,4.692048655121292E-4,39.79078013490462,0.38335047299310077
-78.090775,-0.248023,train,3.62283807585613E-4,33.19564978582392,0.32432572701443624
-78.696594,-0.958334,train,0.0021490136317389294,67.25278914430498,0.7400779157865065
-78.42394,-1.421057,train,8.423890113082188E-4,54.045510145348615,0.5274352261098311
-78.67,-1.66,train,0.0039056081251130545,81.63049982627594,0.8380483690735246
-78.46278,-1.09554,train,0.0023148343836980846,69.506548921796,0.754119045308083
-78.53297,-1.597236,train,0.0020777308211834687,67.03785954777787,0.7335366688827155
-78.62598,-0.918502,train,0.0025692164701359398,70.96994800628784,0.7729362182469737
-78.71981,-1.628374,train,0.002020815766270081,66.62332075652199,0.72807264480463
-78.25862,-1.234403,train,1.661635225864662E-4,15.207306860283595,0.18043275392296745
-78.576256,-0.770829,train,0.0011471046811903924,58.05276425234682,0.6031495581499086
-78.398865,-1.343288,train,5.367677538680316E-4,43.44754749715921,0.4156090485942968
-78.19802,-1.72165,train,1.5121512512800023E-4,13.647512123532575,0.16690996517549192
-78.57404,-1.311695,train,0.003821290709705818,80.85015631120194,0.8350642754973707
-78.75202,-1.423816,train,8.934956675987962E-4,54.911861861205125,0.5420878719540342
-78.72831,-1.247454,train,0.0014077104445004238,61.12834439289976,0.6509753411637951
-78.755394,-1.738496,train,0.001162959748666528,58.24221228971918,0.6064305970882892
-78.47691,-1.333377,train,0.0015608703525795417,62.320072152779595,0.6740605213447415
-78.61769,-0.760348,train,0.0014171584398302035,61.27003017409211,0.6524936273758123
-78.4814,-1.516545,train,0.0018538887341802083,65.16099725355916,0.7106720090680819
-78.50202,-1.51714,train,0.004090609837364725,82.84703576858736,0.8442318747061135
-78.54202,-1.541864,train,0.0035269654523750506,77.52308368999326,0.8237265967246078
-78.48015,-0.680038,train,9.427739172968785E-4,56.303056175876144,0.5553808021625317
-78.787056,-1.627476,train,0.0012622718236944656,58.844009759857336,0.6258087384219757
-78.221664,-1.430725,train,1.64849038303836E-4,15.054205683390526,0.17926126005937426
-78.34593,-0.182823,train,2.778794201029671E-4,25.600312533763784,0.26909807151695336
-78.74827,-1.571677,train,0.002305172073453964,69.04423245896724,0.7533426282613745
-78.62382,-1.749247,train,0.0027565050782738234,72.0502603330114,0.7850476772932184
-78.7707,-1.330447,train,9.204891409775087E-4,55.58602174394374,0.5494662907438934
-77.96957,-1.315009,train,7.347373361508229E-5,5.902611428255473,0.08871209011244373
-78.909023,-0.84538,train,2.9043868358692476E-4,26.835015886822923,0.27788075621963865
-78.11949,-1.435969,train,3.716987032570448E-4,34.1112276814946,0.3299730194792645
-78.57074,-0.95547,train,0.00417612266208982,83.26474767938338,0.8469332553604048
-78.64788,-1.674559,train,0.00440971985165082,85.41785533781436,0.8538567036364639
-78.61344,-1.647979,train,0.005355651552396118,90.44122053981161,0.876480667958927
-78.48,-1.42,train,9.35145189108119E-4,55.91433759792835,0.5533736523671854
-78.712006,-1.934532,train,0.0017637763201833441,64.15733904864341,0.7003199188851987
-78.30643,-1.404233,train,8.752896079084644E-5,7.324284717593495,0.10391882331030453
-78.83858,-0.93517,train,4.4438455705874845E-4,38.455046969106306,0.37058677454623185
-78.53594,-0.762715,train,5.405690432948485E-4,43.62516590143626,0.4173240190006364
-78.72852,-1.281604,train,0.003456188073463224,76.81845234522099,0.820763798400474
-78.81075,-1.281733,train,9.871582180999623E-4,56.78930830482139,0.5667098015206138
-78.76386,-1.590903,train,0.0013358678569318177,59.754229484444856,0.6389813761569076
-78.80101,-1.564071,train,4.894033138909784E-4,40.97425412259868,0.3933615644336338
-78.87926,-0.253504,train,4.3713666534482935E-5,3.75351545413172,0.054747008008190406
-78.709,-1.339,train,4.146645695079138E-4,36.958879245562116,0.35459064784888766
-78.25862,-0.234403,train,5.263202277075264E-4,42.97744598917345,0.4108431701590892
-78.91751,-0.79678,train,1.8614978783661925E-4,17.57563298478257,0.19784165824141722
-78.25862,-0.34403,train,6.118868623113863E-4,46.65350760153955,0.44773084249752215
-79.27508,-0.764729,train,1.7101845068352107E-4,15.757674524929175,0.18473072575171565
-78.274925,-1.390063,train,9.621173737815688E-5,8.157040591988439,0.11306194216479643
-77.77286,-0.819312,train,1.0511562483304387E-4,9.112258319920517,0.12224613087424212
-78.64827,-1.805263,train,0.0013769567976594098,60.57155525879185,0.6459400494940661
-78.62817,-1.873061,train,0.0018183018164831895,64.87657622417338,0.7066704266185734
-78.739334,-1.799086,train,0.0016283524203759242,62.804020981830796,0.6832901042548588
-78.91565,-0.831842,train,1.9444944052888707E-4,18.403631454369126,0.2048555834546518
-77.80233,-0.646,train,3.879387271892972E-4,35.22147238760103,0.33949549432974396
-77.846085,-0.436145,train,2.2042855503840017E-4,20.99273276754057,0.22603845509108672
-77.850494,-0.696585,train,3.5596955164100076E-4,32.30216958454948,0.3204846418583773
-78.671555,-0.837849,train,0.0013781113798516937,60.629448105828104,0.6461317125450766
-78.433716,-0.694668,train,0.0016639196624914127,63.296723135262056,0.6879474095798449
-78.533,-1.583,train,0.0037543645869351247,79.70999069567974,0.8326162337050559
-78.1303,-0.352075,train,3.8689430460381053E-4,35.169194385750366,0.33889123961856693
-78.404887,-0.213996,train,3.245301329372436E-4,30.291745238132368,0.3006904236383779
-79.983333,-1.85,train,2.7583116407135267E-7,0.013886720932308062,3.6532529046358255E-4
-77.94068,-0.391156,train,3.495168426434881E-4,31.872213512753635,0.3165139507340169
